StartYear,EndYear,Make,Model,BoltPattern,Bore,MinDiameter,MaxDiameter
2016,2024,Honda,Civic,5x114.3,64.1,16,20
2013,2024,Honda,Accord,5x114.3,64.1,17,21
2014,2024,Toyota,Corolla,5x100,54.1,15,18
2018,2024,Toyota,Camry,5x114.3,60.1,17,21
2017,2024,Toyota,RAV4,5x114.3,60.1,17,20
2017,2024,Honda,CR-V,5x114.3,64.1,17,20
2017,2024,Hyundai,Elantra,5x114.3,67.1,16,19
2015,2024,Nissan,Altima,5x114.3,66.1,16,20
2017,2024,Tesla,Model 3,5x114.3,64.1,18,20
2017,2024,Tesla,Model Y,5x114.3,64.1,19,21
2012,2024,BMW,3 Series,5x120,72.6,17,20
2013,2024,Audi,A4,5x112,66.6,17,20
2015,2024,Ford,F-150,6x135,87.1,17,22
2019,2024,Ram,1500,6x139.7,77.8,18,22
2014,2024,Chevrolet,Silverado 1500,6x139.7,78.1,17,22
2016,2024,GMC,Sierra 1500,6x139.7,78.1,17,22
2018,2024,Subaru,WRX,5x114.3,56.1,17,19
2019,2024,Hyundai,Tucson,5x114.3,67.1,17,19
2018,2024,Kia,Sportage,5x114.3,67.1,17,19
2017,2024,Mazda,3,5x114.3,67.1,16,19
2016,2024,Mazda,CX-5,5x114.3,67.1,17,20
2016,2024,Nissan,Rogue,5x114.3,66.1,17,20
2017,2024,Volkswagen,GTI,5x112,57.1,17,19
2016,2024,Volkswagen,Tiguan,5x112,57.1,17,20
2016,2024,Jeep,Wrangler,5x127,71.5,17,20
2017,2024,Jeep,Grand Cherokee,5x127,71.5,18,22
