"Manufacturer","Model","SKU","Description","Finish","Diameter","Width","Bolt Pattern","Offset","Backspace","GTIN","Bore","Lugs","Lug Type","Max Load lbs","Cost","AC-EDM","AC-OAK","MAP","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6"
"AZARA","AZA-525","AZA-52522853838NC","AZARA AZA-525 22x8.5 5x114.3/5x120 38 Nano Chrome","Nano Chrome","22","8.5","5x114.3/5x120","38","6.25","","74.1","5","","1600","305.82","0","0","407.76","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/3cfc8cf3-c3f9-4126-8dc0-76a80b62409d.png","","","","",""
"AZARA","AZA-540","AZA-54020853635GB","AZARA AZA-540 20x8.5 5x112/5x114.3 35 Gloss Black","Gloss Black","20","8.5","5x112/5x114.3","35","0","","74.1","5","","1600","204.58","0","0","272.77","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/f084d51f-bcd0-4eaf-a2b7-1e346df5796c.png","","","","",""
"AZARA","AZA-525","AZA-52520853635NC","AZARA AZA-525 20x8.5 5x112/5x114.3 35 Nano Chrome","Nano Chrome","20","8.5","5x112/5x114.3","35","0","","74.1","5","","1600","279.56","0","0","372.75","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/3cfc8cf3-c3f9-4126-8dc0-76a80b62409d.png","","","","",""
"AZARA","AZA-536","AZA-53622853638NC","AZARA AZA-536 22x8.5 5x112/5x114.3 38 Nano Chrome","Nano Chrome","22","8.5","5x112/5x114.3","38","0","","74.1","5","","1600","305.82","0","0","407.76","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4c6c876e-276b-4e90-b96a-54493b887e6b.jpg","","","","",""
"AZARA","AZA-534","AZA-5342495722BM","AZARA AZA-534 24x9 6x135/6x139.7 22 Gloss Black Machined","Gloss Black Machined","24","9","6x135/6x139.7","22","5.75","","87.1","6","","1800","285.93","0","0","381.23","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/696cfd4c-35ac-42dd-ab21-eae472f39ca7.png","","","","",""
"AZARA","AZA-534","AZA-53426955722BM","AZARA AZA-534 26x9.5 6x135/6x139.7 22 Gloss Black Machined","Gloss Black Machined","26","9.5","6x135/6x139.7","22","6","","87.1","6","","1800","370.64","0","0","494.19","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/696cfd4c-35ac-42dd-ab21-eae472f39ca7.png","","","","",""
"AZARA","AZA-525","AZA-52522953915NCR","AZARA AZA-525 22x9.5 5x120/5x115 15 Nano Chrome","Nano Chrome","22","9.5","5x120/5x115","15","5.75","","74.1","5","","1600","305.82","3","4","407.76","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/fa834103-4dab-4c4e-8ca1-f9fb72866f52.png","","","","",""
"AZARA","AZA-536","AZA-53622953915GB","AZARA AZA-536 22x9.5 5x115/5x120 15 Gloss Black","Gloss Black","22","9.5","5x120/5x115","15","5.75","","74.1","5","","1600","234.99","4","0","313.32","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/9442cc8c-dcb6-4bf2-921b-4eff068d170d.jpg","","","","",""
"AZARA","AZA-525","AZA-5252495722NC","AZARA AZA-525 24x9 6x135/6x139.7 22 Nano Chrome","Nano Chrome","24","9","6x135/6x139.7","22","5.75","","87.1","6","","1800","384.59","0","0","512.78","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/3cfc8cf3-c3f9-4126-8dc0-76a80b62409d.png","","","","",""
"AZARA","AZA-536","AZA-5361883835GB","AZARA AZA-536 18x8 5x114.3/5x120 35 Gloss Black","Gloss Black","18","8","5x114.3/5x120","35","6","","74.1","5","","1600","163.2","0","0","217.6","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/9442cc8c-dcb6-4bf2-921b-4eff068d170d.jpg","","","","",""
"AZARA","AZA-529","AZA-52920853635BM","AZARA AZA-529 26x8.5 5x112/5x114.3 35 Gloss Black Machined","Gloss Black Machined","26","8.5","5x112/5x114.3","35","0","","74.1","5","","1600","204.58","0","0","272.77","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/cb7a9d2a-a742-4cf0-adee-34a550cfe126.png","","","","",""
"AZARA","AZA-534","AZA-5341883835BM","AZARA AZA-534 18x8 5x114.3/5x120 35 Gloss Black Machined","Gloss Black Machined","18","8","5x114.3/5x120","35","6","","74.1","5","","1600","163.2","0","0","217.6","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/696cfd4c-35ac-42dd-ab21-eae472f39ca7.png","","","","",""
"AZARA","AZA-536","AZA-53620853635NC","AZARA AZA-536 20x8.5 5x112/5x114.3 35 Nano Chrome","Nano Chrome","20","8.5","5x112/5x114.3","35","0","","74.1","5","","1600","279.56","0","0","372.75","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4c6c876e-276b-4e90-b96a-54493b887e6b.jpg","","","","",""
"AZARA","AZA-525","AZA-5251883635BM","AZARA AZA-525 18x8 5x112/5x114.3 35 Gloss Black Machined","Gloss Black Machined","18","8","5x112/5x114.3","35","0","","74.1","5","","1600","163.2","3","0","217.6","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/89e3d9cc-2744-46f2-a1f7-eb53adeab772.png","","","","",""
"AZARA","AZA-531","AZA-53120853635BM","AZARA AZA-531 20x8.5 5x112/5x114.3 35 Gloss Black Machined","Gloss Black Machined","20","8.5","5x112/5x114.3","35","0","","74.1","5","","1600","204.58","0","0","272.77","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/d0694063-dfc1-4d72-87ea-6a2f7f077fc2.png","","","","",""
"AZARA","AZA-531","AZA-53122853638BM","AZARA AZA-531 22x8.5 5x112/5x114.3 38 Gloss Black Machined","Gloss Black Machined","22","8.5","5x112/5x114.3","38","0","","74.1","5","","1600","234.99","7","4","313.32","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/d0694063-dfc1-4d72-87ea-6a2f7f077fc2.png","","","","",""
